WORD,,AOA,,   FAM,,IMAG,,CONC,,Adult WrtFQ,,Child Written,,,Adult,,,,Lexical,PHON:,PHON:,,VOICE,MANNER,,,,,PLACE,,,,,,VOWEL,,,
Italian,English,mean,sd,mean,sd,mean,sd,mean,sd,ILC,CoLFIS,TotFQ,CompFQ,ProdFQ,SpkFQ,NSIZE,BIGR,SYL,LET,Stress,VOICE,MANN,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,RT,,
CAROSELLO,carousel,4.30,1.71,4.25,1.99,3.27,1.92,5.61,1.79,8,5,0,0,0,1,0,11.13,4,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,578,,
CAROTA,carrot,2.34,0.75,6.61,0.87,6.39,1.02,6.84,0.57,3,21,38,17,21,2,0,11.19,3,6,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,527,,
CARRIERA,career,5.50,1.30,6.00,1.56,3.32,2.01,3.95,2.29,61,339,24,21,3,14,2,11.14,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,537,,
CASA,house,1.66,0.61,7.00,0.00,6.44,0.96,6.48,1.11,2253,2737,3584,873,2711,471,5,11.21,2,4,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,505,,
CASTAGNA,chestnut,2.77,0.80,6.50,0.85,6.39,0.99,6.61,0.99,15,33,40,9,31,1,0,10.86,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,508,,
CASTELLO,castle,2.52,0.76,6.61,0.87,6.14,1.29,5.86,1.56,93,146,223,90,133,6,3,11.13,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,508,,
CATEGORIA,category,5.73,1.09,5.41,1.60,2.64,1.78,3.43,2.12,31,163,13,11,2,40,0,10.96,5,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,567,,
CATINO,basin,4.57,1.45,4.09,1.68,4.84,1.76,6.55,1.09,3,4,0,0,0,0,5,11.42,3,6,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,539,,
CATRAME,tar,4.73,1.47,5.30,1.81,4.70,1.91,5.73,1.69,11,4,0,0,0,0,0,11.17,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,585,,
CAVALLO,horse,2.11,0.72,6.82,0.58,6.52,1.00,6.84,0.53,170,180,383,139,244,37,1,11.14,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,500,,
CEDRO,citron,4.89,1.35,3.84,1.80,4.66,2.17,6.64,0.89,6,3,9,7,2,0,0,10.67,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,543,,
CENERE,ash,3.20,1.19,6.14,1.09,5.14,1.62,4.32,2.59,45,16,17,12,5,0,3,11.46,3,6,ap,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,537,,
CERA,wax,3.36,1.04,6.30,1.00,4.93,1.66,5.32,2.07,47,23,10,5,5,3,7,11.58,2,4,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,533,,
CERIMONIA,ceremony,4.66,1.14,5.89,1.42,4.55,1.81,4.89,1.98,30,150,26,21,5,0,0,11.11,4,9,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,597,,
CERVELLO,brain,3.50,1.11,6.61,1.02,5.41,1.63,6.11,1.50,91,164,64,55,9,2,0,10.88,3,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,542,,
CERVO,deer,3.07,0.93,6.05,1.28,6.05,1.14,5.73,1.86,7,9,37,23,14,1,2,10.79,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,534,,
CESTO,basket,3.27,0.82,6.09,1.16,5.80,1.47,6.66,0.96,7,12,41,29,12,2,13,11.34,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,543,,
CHIESA,church,2.41,0.79,6.75,0.94,6.32,1.23,6.30,1.41,255,537,190,41,149,30,1,11.04,2,6,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,536,,
CHITARRA,guitar,3.25,0.99,6.59,0.90,6.52,0.73,6.80,0.59,7,39,19,11,8,3,0,11.03,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,564,,
CICALA,cicada,2.95,0.83,5.66,1.68,5.66,1.54,6.77,0.83,16,7,18,16,2,2,0,11.29,3,6,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,573,,
CICATRICE,scar,3.50,0.88,6.05,1.35,5.77,1.27,6.34,1.16,3,4,13,1,12,0,0,11.02,4,9,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,615,,
CIELO,sky,1.91,0.74,6.91,0.47,6.32,1.16,5.91,1.64,539,316,530,256,274,15,2,11.15,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,528,,
CILIEGIA,cherry,2.30,0.76,6.61,0.69,6.43,0.95,4.48,2.67,1,2,42,31,12,0,1,10.92,3,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,585,,
CIMITERO,cemetery,3.48,1.02,6.68,0.96,6.20,1.34,4.25,2.54,71,54,23,4,19,7,0,11.11,4,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,576,,
CINEMA,cinema,3.00,0.81,6.89,0.39,6.23,1.01,4.39,2.46,169,625,43,22,21,34,0,11.14,3,6,ap,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,527,,
CINGHIALE,wild boar,3.75,1.12,5.95,1.28,5.68,1.39,4.95,2.25,2,3,31,21,10,0,0,10.67,3,9,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,616,,
CIPRESSO,cypress,3.89,1.08,5.02,1.61,5.68,1.46,6.23,1.63,4,1,0,0,0,0,0,10.86,3,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,557,,
CIPRIA,powder,4.80,1.44,5.32,1.55,5.61,1.38,6.09,1.44,13,7,0,0,0,0,0,10.91,2,6,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,533,,
CIRCO,circus,2.50,1.02,6.48,0.79,5.80,1.44,4.61,2.12,47,45,50,32,18,7,1,10.94,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,517,,
CISTERNA,water tank,5.64,1.24,4.70,1.56,4.73,1.66,6.57,0.85,3,18,0,0,0,0,0,11.05,3,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,583,,
CIUFFO,tuft,3.70,1.11,5.70,1.49,4.57,1.86,5.48,1.73,13,30,35,21,14,0,0,9.93,2,6,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,560,,
